code,name,forcing,et,scenario,channel,target,n,r,rho,reference_r,delta_r,change_n,change_r,reference_change_r,first30_r,last30_r,candidate_span_pp,reference_span_pp,observed_span_m3_m3,initial_dry_r,initial_wet_r,initial_dry_span_pp,initial_wet_span_pp
CMN,Camí dels Nerets,idw,hg,bypass25,VWC_020,lower,60,-0.6663941149003845,-0.721891851288913,-0.6872149102164073,0.020820795316022878,59,0.028950045760239615,0.04846618276876955,-0.8413530775272906,-0.5331828999239463,10.57436802865829,23.247119019555548,0.003270833333333334,-0.6663941149003845,-0.6663941149003845,10.57436802865829,10.57436802865829
CMN,Camí dels Nerets,idw,hg,bypass25,VWC_020,total,60,-0.6709179796365682,-0.7254210015358024,-0.6872149102164073,0.016296930579839164,59,0.07693216782266996,0.04846618276876955,-0.7771310823370355,-0.5822956802307013,21.166983621958046,23.247119019555548,0.003270833333333334,-0.6709179796365682,-0.6709179796365682,21.166983621958046,21.166983621958046
CMN,Camí dels Nerets,idw,hg,bypass25,VWC_050,total,60,-0.029497003556597408,-0.08010424658662352,-0.03150292883491008,0.00200592527831267,59,0.03210273081068328,0.020655453910312517,0.048469608871258424,-0.13872817102280807,21.166983621958046,23.247119019555548,0.0029583333333333406,-0.029497003556597408,-0.029497003556597408,21.166983621958046,21.166983621958046
CMN,Camí dels Nerets,idw,pm,control,VWC_005,upper,60,-0.28250567011515404,-0.20236739011396587,-0.28250567011515415,1.1102230246251565e-16,59,-0.1156926428569671,-0.11569264285696715,-0.5255761769930754,-0.18900713245628187,24.277411874036364,24.277411874036357,0.009687499999999974,-0.28250567011515404,-0.28250567011515404,24.277411874036364,24.277411874036364
CMN,Camí dels Nerets,idw,pm,control,VWC_005,total,60,-0.28250567011515404,-0.20236739011396587,-0.28250567011515415,1.1102230246251565e-16,59,-0.11569264285696726,-0.11569264285696715,-0.5255761769930752,-0.1890071324562818,24.27741187403636,24.277411874036357,0.009687499999999974,-0.28250567011515404,-0.28250567011515404,24.27741187403636,24.27741187403636
CMN,Camí dels Nerets,idw,pm,control,VWC_020,lower,60,-0.6892480933670119,-0.7262268704898165,-0.689248093367012,1.1102230246251565e-16,59,0.038588562728269715,0.03858856272826967,-0.8227482926621937,-0.5654600529949529,24.27741187403636,24.277411874036357,0.003270833333333334,-0.6892480933670119,-0.6892480933670119,24.27741187403636,24.27741187403636
CMN,Camí dels Nerets,idw,pm,control,VWC_020,total,60,-0.6892480933670119,-0.7262268704898165,-0.689248093367012,1.1102230246251565e-16,59,0.038588562728269576,0.03858856272826967,-0.8227482926621936,-0.5654600529949529,24.27741187403636,24.277411874036357,0.003270833333333334,-0.6892480933670119,-0.6892480933670119,24.27741187403636,24.27741187403636
CMN,Camí dels Nerets,idw,pm,control,VWC_050,total,60,-0.0323337054876234,-0.09245807666034563,-0.03233370548762331,-9.020562075079397e-17,59,0.020097017527024506,0.02009701752702457,-0.0024507980819624547,-0.14042411123756504,24.27741187403636,24.277411874036357,0.0029583333333333406,-0.0323337054876234,-0.0323337054876234,24.27741187403636,24.27741187403636
CMN,Camí dels Nerets,idw,pm,cascade,VWC_005,upper,60,-0.26774817860716266,-0.19308677658958517,-0.28250567011515415,0.014757491507991494,59,-0.12192386974588482,-0.11569264285696715,-0.5080096120759133,-0.17521469586202681,75.53541606924867,24.277411874036357,0.009687499999999974,-0.26774817860716266,-0.26774817860716266,75.53541606924867,75.53541606924867
CMN,Camí dels Nerets,idw,pm,cascade,VWC_005,total,60,-0.2677484441766378,-0.19308677658958517,-0.28250567011515415,0.01475722593851636,59,-0.1219237412302324,-0.11569264285696715,-0.5080091274679142,-0.17521469721145905,25.17846058055225,24.277411874036357,0.009687499999999974,-0.2677484441766378,-0.2677484441766378,25.17846058055225,25.17846058055225
CMN,Camí dels Nerets,idw,pm,cascade,VWC_020,lower,60,0.4449278037889739,-0.055493803488488695,-0.689248093367012,1.1341758971559859,59,0.09965433418860384,0.03858856272826967,0.8487465437876935,-0.4072287239021831,0.00010434009563286558,24.277411874036357,0.003270833333333334,0.4449278037889739,0.4449278037889739,0.00010434009563286558,0.00010434009563286558
CMN,Camí dels Nerets,idw,pm,cascade,VWC_020,total,60,-0.6919938100388738,-0.7273662024592847,-0.689248093367012,-0.002745716671861853,59,0.027592957875375218,0.03858856272826967,-0.8290837459964051,-0.5652374226584248,25.17846058055225,24.277411874036357,0.003270833333333334,-0.6919938100388738,-0.6919938100388738,25.17846058055225,25.17846058055225
CMN,Camí dels Nerets,idw,pm,cascade,VWC_050,total,60,-0.04626752528140698,-0.10553860262075729,-0.03233370548762331,-0.01393381979378367,59,0.009870958679205628,0.02009701752702457,-0.028107970502153547,-0.15413827392007823,25.17846058055225,24.277411874036357,0.0029583333333333406,-0.04626752528140698,-0.04626752528140698,25.17846058055225,25.17846058055225
CMN,Camí dels Nerets,idw,pm,surface,VWC_005,upper,60,-0.3980121845486159,-0.270721609485153,-0.28250567011515415,-0.11550651443346177,59,-0.09928893430744132,-0.11569264285696715,-0.627415061434899,-0.30525592824095965,59.775336419306434,24.277411874036357,0.009687499999999974,-0.3980121845486159,-0.3980121845486159,59.775336419306434,59.775336419306434
CMN,Camí dels Nerets,idw,pm,surface,VWC_005,total,60,-0.39802505586621956,-0.270721609485153,-0.28250567011515415,-0.1155193857510654,59,-0.0992871789316179,-0.11569264285696715,-0.6274095174398856,-0.30525583721745986,19.92478591319599,24.277411874036357,0.009687499999999974,-0.39802505586621956,-0.39802505586621956,19.92478591319599,19.92478591319599
CMN,Camí dels Nerets,idw,pm,surface,VWC_020,lower,60,0.3967739570665477,-0.055493803488488695,-0.689248093367012,1.0860220504335598,59,0.1159899604921352,0.03858856272826967,0.8694110652842911,-0.41830879598444215,0.00172620481960898,24.277411874036357,0.003270833333333334,0.3967739570665477,0.3967739570665477,0.00172620481960898,0.00172620481960898
CMN,Camí dels Nerets,idw,pm,surface,VWC_020,total,60,-0.660561524659113,-0.7441505075704752,-0.689248093367012,0.028686568707898985,59,0.07771621255323237,0.03858856272826967,-0.7329923088294125,-0.5903110451093496,19.92478591319599,24.277411874036357,0.003270833333333334,-0.660561524659113,-0.660561524659113,19.92478591319599,19.92478591319599
CMN,Camí dels Nerets,idw,pm,surface,VWC_050,total,60,0.03615759833632588,-0.0299622304050455,-0.03233370548762331,0.06849130382394919,59,0.03606708519453854,0.02009701752702457,0.09761553220308411,-0.14199275097315017,19.92478591319599,24.277411874036357,0.0029583333333333406,0.03615759833632588,0.03615759833632588,19.92478591319599,19.92478591319599
CMN,Camí dels Nerets,idw,pm,surface5,VWC_005,upper,60,-0.45038069275500014,-0.3527466727305776,-0.28250567011515415,-0.167875022639846,59,-0.059079644724194136,-0.11569264285696715,-0.6317913683805276,-0.3789489971153537,79.51047865617817,24.277411874036357,0.009687499999999974,-0.45038069275500014,-0.45038069275500014,79.51047865617817,79.51047865617817
CMN,Camí dels Nerets,idw,pm,surface5,VWC_005,total,60,-0.3467081031368494,-0.2033954820313374,-0.28250567011515415,-0.06420243302169526,59,-0.06799785053797804,-0.11569264285696715,-0.6339225054209023,-0.2845304822329041,18.055381901079148,24.277411874036357,0.009687499999999974,-0.3467081031368494,-0.3467081031368494,18.055381901079148,18.055381901079148
CMN,Camí dels Nerets,idw,pm,surface5,VWC_020,lower,60,-0.48401501391115265,-0.48646696237830905,-0.689248093367012,0.20523307945585934,59,0.001089698298173583,0.03858856272826967,-0.7309249476735387,-0.4015357907826407,5.764947137033189,24.277411874036357,0.003270833333333334,-0.48401501391115265,-0.48401501391115265,5.764947137033189,5.764947137033189
CMN,Camí dels Nerets,idw,pm,surface5,VWC_020,total,60,-0.5991300391614143,-0.6978547255915958,-0.689248093367012,0.09011805420559771,59,0.11004982966286672,0.03858856272826967,-0.6794375563835678,-0.5407715133794802,18.055381901079148,24.277411874036357,0.003270833333333334,-0.5991300391614143,-0.5991300391614143,18.055381901079148,18.055381901079148
CMN,Camí dels Nerets,idw,pm,surface5,VWC_050,total,60,-0.020608184909524166,-0.09740519865819362,-0.03233370548762331,0.011725520578099141,59,0.052567029434064036,0.02009701752702457,0.138010326690104,-0.13428058869092618,18.055381901079148,24.277411874036357,0.0029583333333333406,-0.020608184909524166,-0.020608184909524166,18.055381901079148,18.055381901079148
CMN,Camí dels Nerets,idw,pm,surface15,VWC_005,upper,60,-0.3599335259268062,-0.24468587633442035,-0.28250567011515415,-0.07742785581165207,59,-0.10995834713684852,-0.11569264285696715,-0.5934203896660819,-0.2577963248446183,42.86484879675907,24.277411874036357,0.009687499999999974,-0.3599335259268062,-0.3599335259268062,42.86484879675907,42.86484879675907
CMN,Camí dels Nerets,idw,pm,surface15,VWC_005,total,60,-0.3599340931528269,-0.24468587633442035,-0.28250567011515415,-0.07742842303767272,59,-0.10995826443737208,-0.11569264285696715,-0.5934201893745398,-0.25779632292727855,21.432408663692243,24.277411874036357,0.009687499999999974,-0.3599340931528269,-0.3599340931528269,21.432408663692243,21.432408663692243
CMN,Camí dels Nerets,idw,pm,surface15,VWC_020,lower,60,0.3967739570665477,-0.055493803488488695,-0.689248093367012,1.0860220504335598,59,0.1159899604921352,0.03858856272826967,0.8694110652842912,-0.4183087959844422,0.00011101197883621365,24.277411874036357,0.003270833333333334,0.3967739570665477,0.3967739570665477,0.00011101197883621365,0.00011101197883621365
CMN,Camí dels Nerets,idw,pm,surface15,VWC_020,total,60,-0.6822546214178458,-0.7345634458761694,-0.689248093367012,0.006993471949166219,59,0.05823796601865734,0.03858856272826967,-0.7809927625163026,-0.5865364090870429,21.432408663692243,24.277411874036357,0.003270833333333334,-0.6822546214178458,-0.6822546214178458,21.432408663692243,21.432408663692243
CMN,Camí dels Nerets,idw,pm,surface15,VWC_050,total,60,0.017047158510998413,-0.04416075003728721,-0.03233370548762331,0.049380863998621724,59,0.028668210521240516,0.02009701752702457,0.0566078196753467,-0.14640363363358427,21.432408663692243,24.277411874036357,0.0029583333333333406,0.017047158510998413,0.017047158510998413,21.432408663692243,21.432408663692243
CMN,Camí dels Nerets,idw,pm,bypass25,VWC_005,upper,60,-0.39983465886030367,-0.275222984907158,-0.28250567011515415,-0.11732898874514952,59,-0.09872024730752883,-0.11569264285696715,-0.6275945173799393,-0.3064975367929582,44.191681839438814,24.277411874036357,0.009687499999999974,-0.39983465886030367,-0.39983465886030367,44.191681839438814,44.191681839438814
CMN,Camí dels Nerets,idw,pm,bypass25,VWC_005,total,60,-0.3133175651812133,-0.20906388071089926,-0.28250567011515415,-0.030811895066059136,59,-0.10225426719338146,-0.11569264285696715,-0.5599490921732957,-0.2411608425434487,22.105044520124817,24.277411874036357,0.009687499999999974,-0.3133175651812133,-0.3133175651812133,22.105044520124817,22.105044520124817
CMN,Camí dels Nerets,idw,pm,bypass25,VWC_020,lower,60,-0.6602126163635524,-0.7235869549508047,-0.689248093367012,0.029035477003459542,59,0.023171405182216026,0.03858856272826967,-0.8435940204535048,-0.5217267872084526,11.061725860467815,24.277411874036357,0.003270833333333334,-0.6602126163635524,-0.6602126163635524,11.061725860467815,11.061725860467815
CMN,Camí dels Nerets,idw,pm,bypass25,VWC_020,total,60,-0.676289923657705,-0.7246429211664095,-0.689248093367012,0.012958169709306966,59,0.06395255524847276,0.03858856272826967,-0.793676093637858,-0.5740168689163807,22.105044520124817,24.277411874036357,0.003270833333333334,-0.676289923657705,-0.676289923657705,22.105044520124817,22.105044520124817
