code,name,model,target_mode,channel,n,r,rho,change_r,change_n,span_pp,first30_r,last30_r
LCDA,La Cultia d'Àreu,regulated_hg_one,depth,VWC_020,60,0.9063599700486338,0.9086539130345231,0.1971712686571991,59,60.10632220761905,0.9047284306739124,0.9775609340033855
LCDA,La Cultia d'Àreu,regulated_hg_two,depth,VWC_020,60,0.7415225809192304,0.7580266467339865,0.12834323215004706,59,44.618912991676766,0.7792122199154807,0.9686510454255817
LCDA,La Cultia d'Àreu,regulated_pm_one,depth,VWC_020,60,0.928060717965464,0.9260478751640445,0.2146011231591011,59,64.66926927157276,0.9088400722707657,0.9837612442703042
LCDA,La Cultia d'Àreu,regulated_pm_two,depth,VWC_020,60,0.7679232515862908,0.7773100488392386,0.12779926697612912,59,51.794918191718104,0.7858628191931003,0.9812285879371159
LCDA,La Cultia d'Àreu,simple_hg_one,total,VWC_005,60,0.5387912145543665,0.6484083567129522,0.02576446632759752,59,29.08552345906164,0.47425059530400393,0.7310086365960506
LCDA,La Cultia d'Àreu,simple_hg_two,total,VWC_005,60,0.7472164469942971,0.8268372142130641,0.12042271063026777,59,37.73810328089146,0.658947332686557,0.9380155297525
LCDA,La Cultia d'Àreu,simple_pm_one,total,VWC_005,60,0.6271086668266862,0.7898566792951777,0.08059498198782164,59,36.28291996320147,0.6581992573449524,0.7242590731684633
LCDA,La Cultia d'Àreu,simple_pm_two,total,VWC_005,60,0.7926318570006861,0.8449876987401171,0.15432276199956285,59,43.904364844436635,0.7803743477141213,0.9188269090192049
LCDA,La Cultia d'Àreu,regulated_hg_one,total,VWC_005,60,0.9189835181436032,0.9236454570714089,0.2148021389463566,59,60.10632220761905,0.9182965784867583,0.9738771822309116
LCDA,La Cultia d'Àreu,regulated_hg_two,total,VWC_005,60,0.9131345104375512,0.9216449013614895,0.19389818759441305,59,55.23064408587526,0.9099438611161869,0.978560530946377
LCDA,La Cultia d'Àreu,regulated_pm_one,total,VWC_005,60,0.9416682986111913,0.9396499027507642,0.2328131440599291,59,64.66926927157276,0.9261252374730407,0.9836944499935492
LCDA,La Cultia d'Àreu,regulated_pm_two,total,VWC_005,60,0.9345662960505638,0.9368157821617117,0.21144246290314003,59,60.14344486271189,0.9187374177579981,0.9842757906932991
LCDA,La Cultia d'Àreu,simple_hg_one,total,VWC_020,60,0.5297482652904343,0.645858443081338,0.013086677688714209,59,29.08552345906164,0.47555320391049927,0.6844295158529162
LCDA,La Cultia d'Àreu,simple_hg_two,total,VWC_020,60,0.7367567585097067,0.8422127870311821,0.07756198581072309,59,37.73810328089146,0.654538004488313,0.9024747323075162
LCDA,La Cultia d'Àreu,simple_pm_one,total,VWC_020,60,0.6103060508579718,0.7919700337323705,0.05752938060697738,59,36.28291996320147,0.6435207328950273,0.6779875374396189
LCDA,La Cultia d'Àreu,simple_pm_two,total,VWC_020,60,0.7754510162792962,0.861028605979321,0.10225723745774885,59,43.904364844436635,0.7645481020290505,0.8793629460523082
LCDA,La Cultia d'Àreu,regulated_hg_one,total,VWC_020,60,0.9063599700486338,0.9086539130345231,0.1971712686571991,59,60.10632220761905,0.9047284306739124,0.9775609340033855
LCDA,La Cultia d'Àreu,regulated_hg_two,total,VWC_020,60,0.8995309805194306,0.9064866142388318,0.17845440359664538,59,55.23064408587526,0.8965883794416533,0.978952930961746
LCDA,La Cultia d'Àreu,regulated_pm_one,total,VWC_020,60,0.928060717965464,0.9260478751640445,0.2146011231591011,59,64.66926927157276,0.9088400722707657,0.9837612442703042
LCDA,La Cultia d'Àreu,regulated_pm_two,total,VWC_020,60,0.9191454799249217,0.9232137152004484,0.19366719956976985,59,60.14344486271189,0.9017075877054537,0.9803438065387623
EML,El Miracle,simple_hg_one,depth,VWC_005,60,-0.15489881828740557,-0.0008488106893404097,-0.0653411748574047,59,5.2091025906735755,-0.2960227735765411,
EML,El Miracle,simple_hg_two,depth,VWC_005,60,-0.10393836376825459,-0.0358242070335726,-0.07569793391960214,59,28.27352457375763,-0.2351554115432541,
EML,El Miracle,simple_pm_one,depth,VWC_005,60,-0.12951178828857388,-0.0008488106893404097,-0.0663410656398899,59,6.63100932642487,-0.26328615216627926,
EML,El Miracle,simple_pm_two,depth,VWC_005,60,-0.1188103144020749,-0.039808244407709824,-0.11031914518826914,59,31.11734001754477,-0.26871246359854223,
EML,El Miracle,regulated_hg_one,depth,VWC_005,60,0.3604314863186922,0.36048628082815093,-0.171971650876797,59,20.135269194198546,0.18038060200650186,0.7097362269423009
EML,El Miracle,regulated_hg_two,depth,VWC_005,60,0.21850692794747384,0.2368044465595855,-0.20058112579195148,59,43.81326645355908,0.07254911835131425,0.42054586412485123
EML,El Miracle,regulated_pm_one,depth,VWC_005,60,0.38016756059181045,0.3795484552402463,-0.16427587564507629,59,21.336889609094218,0.19788984167404955,0.7284723943396652
EML,El Miracle,regulated_pm_two,depth,VWC_005,60,0.24233628404464794,0.24591872237178264,-0.19851098574337228,59,46.8738446329567,0.08894616421734072,0.47808868621397516
EML,El Miracle,simple_hg_one,depth,VWC_020,60,0.13398797984767002,0.17780844354432793,-0.3587315163026808,59,5.2091025906735755,0.040329710601151064,
EML,El Miracle,simple_hg_two,depth,VWC_020,60,,,,59,0.0,,
EML,El Miracle,simple_pm_one,depth,VWC_020,60,0.1379996068874264,0.17780844354432793,-0.34332784334427746,59,6.63100932642487,0.024170725302309508,
EML,El Miracle,simple_pm_two,depth,VWC_020,60,,,,59,0.0,,
EML,El Miracle,regulated_hg_one,depth,VWC_020,60,0.40199950776537324,0.22336153941107753,0.1310010509736529,59,20.135269194198546,0.18102919261611983,0.6538222312487074
EML,El Miracle,regulated_hg_two,depth,VWC_020,60,0.42909456822046604,0.8944187445912358,0.009076395189604337,59,0.0010321171214953478,0.0018350324653770454,0.8364965540264084
EML,El Miracle,regulated_pm_one,depth,VWC_020,60,0.390922394118851,0.22438970275497028,0.13886792992068545,59,21.336889609094218,0.16952947782000885,0.6685473763456851
EML,El Miracle,regulated_pm_two,depth,VWC_020,60,0.44670230138955824,0.8944187445912358,0.010392931069623955,59,0.0020292337111890834,0.008085844405963619,0.8357465173438337
EML,El Miracle,simple_hg_one,total,VWC_005,60,-0.15489881828740557,-0.0008488106893404097,-0.0653411748574047,59,5.2091025906735755,-0.2960227735765411,
EML,El Miracle,simple_hg_two,total,VWC_005,60,-0.10393836376825458,-0.0358242070335726,-0.07569793391960213,59,9.424508191252542,-0.235155411543254,
EML,El Miracle,simple_pm_one,total,VWC_005,60,-0.12951178828857388,-0.0008488106893404097,-0.0663410656398899,59,6.63100932642487,-0.26328615216627926,
EML,El Miracle,simple_pm_two,total,VWC_005,60,-0.11881031440207487,-0.039808244407709824,-0.11031914518826912,59,10.372446672514922,-0.2687124635985421,
EML,El Miracle,regulated_hg_one,total,VWC_005,60,0.3604314863186922,0.36048628082815093,-0.171971650876797,59,20.135269194198546,0.18038060200650186,0.7097362269423009
EML,El Miracle,regulated_hg_two,total,VWC_005,60,0.2185205803029599,0.2368044465595855,-0.2005777328468079,59,14.604250900598814,0.07255962730430593,0.42054768451725305
EML,El Miracle,regulated_pm_one,total,VWC_005,60,0.38016756059181045,0.3795484552402463,-0.16427587564507629,59,21.336889609094218,0.19788984167404955,0.7284723943396652
EML,El Miracle,regulated_pm_two,total,VWC_005,60,0.2423617158758222,0.24591872237178264,-0.19850482588344756,59,15.624266156826119,0.08896522061294132,0.4780924114495649
EML,El Miracle,simple_hg_one,total,VWC_020,60,0.13398797984767002,0.17780844354432793,-0.3587315163026808,59,5.2091025906735755,0.040329710601151064,
EML,El Miracle,simple_hg_two,total,VWC_020,60,0.16510877544555233,0.3103137280501231,-0.3003634143944701,59,9.424508191252542,0.03526009326044624,
EML,El Miracle,simple_pm_one,total,VWC_020,60,0.1379996068874264,0.17780844354432793,-0.34332784334427746,59,6.63100932642487,0.024170725302309508,
EML,El Miracle,simple_pm_two,total,VWC_020,60,0.22896589700373698,0.3117274580184608,-0.18320534041972575,59,10.372446672514922,0.12501391451438665,
EML,El Miracle,regulated_hg_one,total,VWC_020,60,0.40199950776537324,0.22336153941107753,0.1310010509736529,59,20.135269194198546,0.18102919261611983,0.6538222312487074
EML,El Miracle,regulated_hg_two,total,VWC_020,60,0.4591346764323362,0.21030108612379136,0.08354300463497957,59,14.604250900598814,0.22537282783519685,0.43452577156135086
EML,El Miracle,regulated_pm_one,total,VWC_020,60,0.390922394118851,0.22438970275497028,0.13886792992068545,59,21.336889609094218,0.16952947782000885,0.6685473763456851
EML,El Miracle,regulated_pm_two,total,VWC_020,60,0.46283831485127375,0.2149695034690341,0.0964111273034626,59,15.624266156826119,0.2222773865349035,0.4787592896611882
BCLL,Borda Coll,simple_hg_one,depth,VWC_005,55,0.40359982008500783,0.5708390871489725,0.24167114739963091,54,92.1708762983947,0.5840352725024747,0.7117855808389453
BCLL,Borda Coll,simple_hg_two,depth,VWC_005,55,-0.08128001079944783,0.07503319471929253,-0.018086094409488968,54,77.74793956562795,-0.061424394913948833,0.3937185860290813
BCLL,Borda Coll,simple_pm_one,depth,VWC_005,55,0.5768009151628433,0.666334160249431,0.3030890451571303,54,96.11332766761096,0.713860777233313,0.8656264155690487
BCLL,Borda Coll,simple_pm_two,depth,VWC_005,55,-0.04318377398191625,0.13634372623550411,0.00558060689865815,54,80.50489919077819,-0.010639696888889012,0.423167953867679
BCLL,Borda Coll,regulated_hg_one,depth,VWC_005,55,0.6240029863165278,0.7749639249639251,0.27183514891867905,54,87.28453419606328,0.6420446619899178,0.9842714384885782
BCLL,Borda Coll,regulated_hg_two,depth,VWC_005,55,0.4243865615874626,0.5756132756132757,0.02417613307016271,54,78.8972034308255,0.3565680219570835,0.9249717873897072
BCLL,Borda Coll,regulated_pm_one,depth,VWC_005,55,0.6817326098709906,0.785858585858586,0.3068507333145027,54,88.31568622288842,0.6980099699523901,0.9878147342222541
BCLL,Borda Coll,regulated_pm_two,depth,VWC_005,55,0.47985341434527806,0.580808080808081,0.038035929235997544,54,81.16810290907304,0.42595708660060816,0.9349202595889924
BCLL,Borda Coll,simple_hg_one,depth,VWC_020,55,0.33982803370371706,0.4807818369304179,0.2114182152641534,54,92.1708762983947,0.6366788621476858,0.47431711736151816
BCLL,Borda Coll,simple_hg_two,depth,VWC_020,55,0.7158900300367987,0.8052351205023165,0.36251874894927955,54,93.82159206798866,0.849315541213748,0.9148382072178396
BCLL,Borda Coll,simple_pm_one,depth,VWC_020,55,0.49733929999395216,0.6001441003721255,0.26446604749547936,54,96.11332766761096,0.7584981433224054,0.6631793490675514
BCLL,Borda Coll,simple_pm_two,depth,VWC_020,55,0.7679042832156897,0.8236383670436407,0.39490353168961845,54,94.41187955523857,0.8695838855854154,0.9438146949529875
