scope,code,name,kind,profile,timing,model,n,mae_mm,bias_mm,observed_change_mm,predicted_change_mm,observed_per_day_mm,predicted_per_day_mm
all_valid,CDLP,Clot de Les Peres,drying5,hold_20,mean,regulated_pm_one,1,0.17119995407506927,-0.17119995407506927,4.515061979166667,4.343862025091598,0.9030123958333334,0.8687724050183195
all_valid,CDLP,Clot de Les Peres,drying5,hold_20,mean,regulated_pm_two,1,0.1683879490706488,-0.1683879490706488,4.515061979166667,4.346674030096018,0.9030123958333334,0.8693348060192037
all_valid,CDLP,Clot de Les Peres,drying5,blocks_10_20,end,regulated_hg_one,1,0.8108393177740059,-0.8108393177740059,4.916780000000003,4.105940682225997,0.9833560000000006,0.8211881364451994
all_valid,CDLP,Clot de Les Peres,drying5,blocks_10_20,end,regulated_hg_two,1,0.791305328479293,-0.791305328479293,4.916780000000003,4.12547467152071,0.9833560000000006,0.8250949343041419
all_valid,CDLP,Clot de Les Peres,drying5,blocks_10_20,end,regulated_pm_one,1,0.572917974908405,-0.572917974908405,4.916780000000003,4.343862025091598,0.9833560000000006,0.8687724050183195
all_valid,CDLP,Clot de Les Peres,drying5,blocks_10_20,end,regulated_pm_two,1,0.5701059699039845,-0.5701059699039845,4.916780000000003,4.346674030096018,0.9833560000000006,0.8693348060192037
all_valid,CDLP,Clot de Les Peres,drying5,blocks_10_20,mean,regulated_hg_one,1,0.5978164011073392,-0.5978164011073392,4.703757083333336,4.105940682225997,0.9407514166666673,0.8211881364451994
all_valid,CDLP,Clot de Les Peres,drying5,blocks_10_20,mean,regulated_hg_two,1,0.5782824118126264,-0.5782824118126264,4.703757083333336,4.12547467152071,0.9407514166666673,0.8250949343041419
all_valid,CDLP,Clot de Les Peres,drying5,blocks_10_20,mean,regulated_pm_one,1,0.3598950582417384,-0.3598950582417384,4.703757083333336,4.343862025091598,0.9407514166666673,0.8687724050183195
all_valid,CDLP,Clot de Les Peres,drying5,blocks_10_20,mean,regulated_pm_two,1,0.3570830532373179,-0.3570830532373179,4.703757083333336,4.346674030096018,0.9407514166666673,0.8693348060192037
all_valid,SCA,Serra de Costa Ampla,daily,linear_5_20_50,end,regulated_hg_one,59,1.2872229582166004,0.07340198992358905,-0.056638418079095955,0.01676357184449309,-0.056638418079095955,0.01676357184449309
all_valid,SCA,Serra de Costa Ampla,daily,linear_5_20_50,end,regulated_hg_two,59,1.2488650195758582,0.07984835086385347,-0.056638418079095955,0.02320993278475751,-0.056638418079095955,0.02320993278475751
all_valid,SCA,Serra de Costa Ampla,daily,linear_5_20_50,end,regulated_pm_one,59,1.2996439770459431,0.07003691229682106,-0.056638418079095955,0.013398494217725113,-0.056638418079095955,0.013398494217725113
all_valid,SCA,Serra de Costa Ampla,daily,linear_5_20_50,end,regulated_pm_two,59,1.2615722656627946,0.07659696987922934,-0.056638418079095955,0.01995855180013338,-0.056638418079095955,0.01995855180013338
all_valid,SCA,Serra de Costa Ampla,daily,linear_5_20_50,mean,regulated_hg_one,59,1.2631515191949607,0.07048885433036883,-0.05372528248587574,0.01676357184449309,-0.05372528248587574,0.01676357184449309
all_valid,SCA,Serra de Costa Ampla,daily,linear_5_20_50,mean,regulated_hg_two,59,1.2257501832387503,0.07693521527063325,-0.05372528248587574,0.02320993278475751,-0.05372528248587574,0.02320993278475751
all_valid,SCA,Serra de Costa Ampla,daily,linear_5_20_50,mean,regulated_pm_one,59,1.2719199920765816,0.06712377670360085,-0.05372528248587574,0.013398494217725113,-0.05372528248587574,0.013398494217725113
all_valid,SCA,Serra de Costa Ampla,daily,linear_5_20_50,mean,regulated_pm_two,59,1.2345693377363318,0.07368383428600912,-0.05372528248587574,0.01995855180013338,-0.05372528248587574,0.01995855180013338
all_valid,SCA,Serra de Costa Ampla,daily,hold_20,end,regulated_hg_one,59,1.2981890783166592,0.07396696167500157,-0.057203389830508475,0.01676357184449309,-0.057203389830508475,0.01676357184449309
all_valid,SCA,Serra de Costa Ampla,daily,hold_20,end,regulated_hg_two,59,1.2601644546041062,0.08041332261526599,-0.057203389830508475,0.02320993278475751,-0.057203389830508475,0.02320993278475751
all_valid,SCA,Serra de Costa Ampla,daily,hold_20,end,regulated_pm_one,59,1.3116076723380632,0.07060188404823359,-0.057203389830508475,0.013398494217725113,-0.057203389830508475,0.013398494217725113
all_valid,SCA,Serra de Costa Ampla,daily,hold_20,end,regulated_pm_two,59,1.2728717006910426,0.07716194163064186,-0.057203389830508475,0.01995855180013338,-0.057203389830508475,0.01995855180013338
all_valid,SCA,Serra de Costa Ampla,daily,hold_20,mean,regulated_hg_one,59,1.270919880776881,0.07115975828517121,-0.05439618644067811,0.01676357184449309,-0.05439618644067811,0.01676357184449309
all_valid,SCA,Serra de Costa Ampla,daily,hold_20,mean,regulated_hg_two,59,1.2349704647149007,0.07760611922543562,-0.05439618644067811,0.02320993278475751,-0.05439618644067811,0.02320993278475751
all_valid,SCA,Serra de Costa Ampla,daily,hold_20,mean,regulated_pm_one,59,1.2796883536585018,0.06779468065840323,-0.05439618644067811,0.013398494217725113,-0.05439618644067811,0.013398494217725113
all_valid,SCA,Serra de Costa Ampla,daily,hold_20,mean,regulated_pm_two,59,1.2449178025802754,0.0743547382408115,-0.05439618644067811,0.01995855180013338,-0.05439618644067811,0.01995855180013338
all_valid,SCA,Serra de Costa Ampla,daily,blocks_10_20,end,regulated_hg_one,59,1.2742022131140551,0.0726957752343238,-0.0559322033898307,0.01676357184449309,-0.0559322033898307,0.01676357184449309
all_valid,SCA,Serra de Costa Ampla,daily,blocks_10_20,end,regulated_hg_two,59,1.239653702197,0.0791421361745882,-0.0559322033898307,0.02320993278475751,-0.0559322033898307,0.02320993278475751
all_valid,SCA,Serra de Costa Ampla,daily,blocks_10_20,end,regulated_pm_one,59,1.2884857849555482,0.06933069760755581,-0.0559322033898307,0.013398494217725113,-0.0559322033898307,0.013398494217725113
all_valid,SCA,Serra de Costa Ampla,daily,blocks_10_20,end,regulated_pm_two,59,1.2528035005722151,0.07589075518996409,-0.0559322033898307,0.01995855180013338,-0.0559322033898307,0.01995855180013338
all_valid,SCA,Serra de Costa Ampla,daily,blocks_10_20,mean,regulated_hg_one,59,1.2643596031589712,0.07004747014957803,-0.05328389830508494,0.01676357184449309,-0.05328389830508494,0.01676357184449309
all_valid,SCA,Serra de Costa Ampla,daily,blocks_10_20,mean,regulated_hg_two,59,1.2320749844889125,0.07649383108984245,-0.05328389830508494,0.02320993278475751,-0.05328389830508494,0.02320993278475751
all_valid,SCA,Serra de Costa Ampla,daily,blocks_10_20,mean,regulated_pm_one,59,1.2743401357083008,0.06668239252281005,-0.05328389830508494,0.013398494217725113,-0.05328389830508494,0.013398494217725113
all_valid,SCA,Serra de Costa Ampla,daily,blocks_10_20,mean,regulated_pm_two,59,1.2420223223542872,0.07324245010521832,-0.05328389830508494,0.01995855180013338,-0.05328389830508494,0.01995855180013338
all_valid,SCA,Serra de Costa Ampla,recharge_next,linear_5_20_50,end,regulated_hg_one,3,4.905040577160409,4.905040577160409,2.241666666666658,7.146707243827066,1.1841666666666621,3.4168845711428855
all_valid,SCA,Serra de Costa Ampla,recharge_next,linear_5_20_50,end,regulated_hg_two,3,4.571033338481641,4.571033338481641,2.241666666666658,6.812700005148299,1.1841666666666621,3.3253638210417087
all_valid,SCA,Serra de Costa Ampla,recharge_next,linear_5_20_50,end,regulated_pm_one,3,5.024928449120685,5.024928449120685,2.241666666666658,7.266595115787342,1.1841666666666621,3.485575940341618
all_valid,SCA,Serra de Costa Ampla,recharge_next,linear_5_20_50,end,regulated_pm_two,3,4.694570878740059,4.694570878740059,2.241666666666658,6.936237545406717,1.1841666666666621,3.397029803054263
all_valid,SCA,Serra de Costa Ampla,recharge_next,linear_5_20_50,mean,regulated_hg_one,3,4.926047521604842,4.926047521604842,2.220659722222225,7.146707243827066,1.1562673611111127,3.4168845711428855
all_valid,SCA,Serra de Costa Ampla,recharge_next,linear_5_20_50,mean,regulated_hg_two,3,4.592040282926074,4.592040282926074,2.220659722222225,6.812700005148299,1.1562673611111127,3.3253638210417087
all_valid,SCA,Serra de Costa Ampla,recharge_next,linear_5_20_50,mean,regulated_pm_one,3,5.0459353935651166,5.0459353935651166,2.220659722222225,7.266595115787342,1.1562673611111127,3.485575940341618
all_valid,SCA,Serra de Costa Ampla,recharge_next,linear_5_20_50,mean,regulated_pm_two,3,4.715577823184492,4.715577823184492,2.220659722222225,6.936237545406717,1.1562673611111127,3.397029803054263
all_valid,SCA,Serra de Costa Ampla,recharge_next,hold_20,end,regulated_hg_one,3,4.788373910493732,4.788373910493732,2.3583333333333343,7.146707243827066,1.244166666666667,3.4168845711428855
all_valid,SCA,Serra de Costa Ampla,recharge_next,hold_20,end,regulated_hg_two,3,4.454366671814965,4.454366671814965,2.3583333333333343,6.812700005148299,1.244166666666667,3.3253638210417087
all_valid,SCA,Serra de Costa Ampla,recharge_next,hold_20,end,regulated_pm_one,3,4.908261782454008,4.908261782454008,2.3583333333333343,7.266595115787342,1.244166666666667,3.485575940341618
all_valid,SCA,Serra de Costa Ampla,recharge_next,hold_20,end,regulated_pm_two,3,4.577904212073383,4.577904212073383,2.3583333333333343,6.936237545406717,1.244166666666667,3.397029803054263
all_valid,SCA,Serra de Costa Ampla,recharge_next,hold_20,mean,regulated_hg_one,3,4.79028363271596,4.79028363271596,2.3564236111111065,7.146707243827066,1.224670138888887,3.4168845711428855
all_valid,SCA,Serra de Costa Ampla,recharge_next,hold_20,mean,regulated_hg_two,3,4.456276394037192,4.456276394037192,2.3564236111111065,6.812700005148299,1.224670138888887,3.3253638210417087
all_valid,SCA,Serra de Costa Ampla,recharge_next,hold_20,mean,regulated_pm_one,3,4.910171504676235,4.910171504676235,2.3564236111111065,7.266595115787342,1.224670138888887,3.485575940341618
all_valid,SCA,Serra de Costa Ampla,recharge_next,hold_20,mean,regulated_pm_two,3,4.57981393429561,4.57981393429561,2.3564236111111065,6.936237545406717,1.224670138888887,3.397029803054263
all_valid,SCA,Serra de Costa Ampla,recharge_next,blocks_10_20,end,regulated_hg_one,3,4.480040577160409,4.480040577160409,2.666666666666657,7.146707243827066,1.4033333333333289,3.4168845711428855
all_valid,SCA,Serra de Costa Ampla,recharge_next,blocks_10_20,end,regulated_hg_two,3,4.146033338481642,4.146033338481642,2.666666666666657,6.812700005148299,1.4033333333333289,3.3253638210417087
all_valid,SCA,Serra de Costa Ampla,recharge_next,blocks_10_20,end,regulated_pm_one,3,4.599928449120685,4.599928449120685,2.666666666666657,7.266595115787342,1.4033333333333289,3.485575940341618
all_valid,SCA,Serra de Costa Ampla,recharge_next,blocks_10_20,end,regulated_pm_two,3,4.26957087874006,4.26957087874006,2.666666666666657,6.936237545406717,1.4033333333333289,3.397029803054263
all_valid,SCA,Serra de Costa Ampla,recharge_next,blocks_10_20,mean,regulated_hg_one,3,4.4265683549381745,4.4265683549381745,2.720138888888892,7.146707243827066,1.4061111111111122,3.4168845711428855
